MeanRed,MeanGreen,MeanBlue,StdDevRed,StdDevGreen,StdDevBlue,SkewRed,SkewGreen,SkewBlue,ASM,Contrast,Entropy,Homogeneity,Correlation,Class
183,227,195,102.2741414,41.18252056,86.08135687,-92.30080339,-39.7023743,-79.03603547,0.010877252,40.40057541,11.63737604,0.548247527,1.42E-05,chinese horse chestnut
162,213,176,106.8690788,48.31148932,90.58697478,-71.28891073,-33.54734525,-60.7412673,0.02000829,28.15389587,10.69837534,0.669271333,1.48E-05,chinese horse chestnut
153,214,172,107.9305332,44.27188724,88.76373133,-54.45770082,-27.36584801,-49.33684335,0.017080733,27.18780952,10.86075885,0.642668025,1.41E-05,chinese horse chestnut
163,228,183,112.1873433,35.83294573,88.57200461,-84.16586652,-32.38245506,-68.85378265,0.013061512,23.42821262,11.30521293,0.674012397,1.32E-05,chinese horse chestnut
161,209,172,105.2045626,53.06599665,93,-65.47603187,-38.46384417,-59.14224035,0.009580053,48.00960419,11.99994308,0.537871237,1.54E-05,chinese horse chestnut
162,217,178,106.3108649,45.23273151,88.76373133,-69.72902038,-34.75612783,-60.72246942,0.012942434,34.03295682,11.33557475,0.597379298,1.42E-05,chinese horse chestnut
166,215,179,109.3343496,49.88987873,94.16474924,-82.39350814,-40.206639,-73.040323,0.01113702,43.14986865,11.69142547,0.546166369,1.55E-05,chinese horse chestnut
170,226,188,108.7520115,38.05259518,86.72369918,-87.28330598,-33.31831546,-71.80321781,0.01202095,31.64545965,11.46903678,0.608607816,1.36E-05,chinese horse chestnut
162,216,175,105.7497045,47,91.0659102,-68.67755454,-37.26807975,-60.51601243,0.010782408,34.82333333,11.70990167,0.578103351,1.45E-05,chinese horse chestnut
168,219,182,106.8831137,45.37620522,90.81850032,-80.42611175,-37.43936869,-70.79096089,0.011920506,39.48307705,11.48781393,0.576903204,1.46E-05,chinese horse chestnut
173,220,185,108.0971785,47.24404724,92.39588735,-89.62987916,-41.87091889,-77.43271302,0.012173421,41.47101632,11.44115316,0.573467972,1.53E-05,chinese horse chestnut
162,215,176,108.5264945,47.86439178,93.06986623,-74.74526914,-36.9549,-66.80234314,0.009838114,44.59122079,11.89776723,0.53920058,1.49E-05,chinese horse chestnut
170,218,183,109.6813567,48.78524367,93.81897463,-88.81804343,-42.26178143,-77.76330834,0.009949392,54.94505537,12.05959969,0.504342515,1.55E-05,chinese horse chestnut
155,218,173,110.2678557,42.75511665,90.84051959,-65.72390016,-32.9109937,-56.99148329,0.010593301,28.83572624,11.66561516,0.629639312,1.40E-05,chinese horse chestnut
163,218,180,102.2007828,42.83689998,84.29116205,-62.08356751,-31.39758457,-54.38341659,0.020686325,22.73735705,10.55588503,0.691937088,1.36E-05,chinese horse chestnut
168,220,183,108.3789647,44.98888752,90.78546139,-83.56745717,-37.9225106,-72.47055483,0.011477149,42.743236,11.62826944,0.557775682,1.46E-05,chinese horse chestnut
175,217,185,102.6157883,49.75942122,89.84987479,-82.34201784,-42.93934119,-72.9668956,0.013509621,23.58107039,11.12994277,0.715516145,1.51E-05,chinese horse chestnut
193,229,203,98.79777325,43.22036557,84.14273587,-98.34075465,-45.95285024,-85.22023625,0.011079713,26.30159502,11.59291825,0.676581014,1.48E-05,chinese horse chestnut
166,201,171,90.57593499,55.30822724,85.88364221,-34.90586952,-24.8535437,-36.90920029,0.012732357,55.1584443,11.53097632,0.554326618,1.50E-05,chinese redbud
165,201,173,94.17536833,56.9122131,85.74380444,-47.69658144,-30.89419357,-44.21059511,0.012184062,46.91357512,11.67491171,0.563066131,1.52E-05,chinese redbud
167,205,176,93.97340049,53.91660227,84.71717653,-50.65900931,-31.14500228,-47.40349752,0.015313664,34.09255846,11.10067412,0.618532737,1.47E-05,chinese redbud
162,208,173,99.09086739,50.71488933,87.71544904,-52.14444553,-29.6856056,-48.32248138,0.015840743,31.54251876,11.02080803,0.647587084,1.47E-05,chinese redbud
176,207,181,94.19129471,57.68015257,87.94884877,-68.45243292,-43.13138112,-63.93368783,0.010093981,62.47625073,12.0167059,0.510718071,1.57E-05,chinese redbud
167,201,172,91.4056891,56.83308895,86.93100713,-42.67960898,-30.26287501,-44.10203592,0.011989527,53.64749975,11.67109733,0.553268323,1.52E-05,chinese redbud
171,209,178,96.70056877,53.45091206,89.06177631,-65.10429017,-37.55718682,-61.30759264,0.012707469,46.30292252,11.54396211,0.547998383,1.52E-05,chinese redbud
167,208,174,97.05668447,51.74939613,88.97752525,-57.80553181,-31.49332184,-52.76351263,0.018850352,29.0630079,10.69177211,0.646126417,1.49E-05,chinese redbud
158,208,170,92.95160031,45.7165178,81.53526844,35.5013555,-10.5702023,29.00911327,0.016647253,25.24426625,10.83836131,0.69363529,1.36E-05,chinese redbud
168,216,180,101.2126474,46.08687449,87.77812939,-70.95977355,-34.70638733,-63.10547545,0.008714599,69.92684196,12.36090339,0.475964772,1.42E-05,chinese redbud
170,213,181,98.29547294,49.689033,85.68547135,-67.19125571,-36.77930468,-59.37026555,0.011822471,60.22884262,11.82137802,0.514356305,1.45E-05,chinese redbud
168,210,176,94.14881837,49.51767361,85.95347579,-53.52544863,-31.35322664,-51.45322047,0.011543201,48.73790201,11.74525783,0.545313169,1.43E-05,chinese redbud
168,214,180,99.93998199,47.54997371,86.58521814,-67.05453346,-33.87497333,-59.46383415,0.015259458,33.91975526,11.19933753,0.606409386,1.43E-05,chinese redbud
162,208,173,95.90099061,49.18333051,85.14105942,-42.94205283,-26.66105785,-42.52939143,0.01297812,42.67998486,11.55718963,0.58188635,1.42E-05,chinese redbud
173,210,181,93.65361712,51.8748494,84.94704233,-62.29773546,-36.19950957,-57.92270719,0.009799062,66.56997734,12.05389366,0.488641207,1.46E-05,chinese redbud
174,206,180,93.97340049,57.5934024,87.62419757,-66.09780418,-42.69040292,-63.59361644,0.006325563,111.4940822,13.04368903,0.410357446,1.55E-05,chinese redbud
179,211,185,97.85192895,56.63038054,90.48204242,-79.07401065,-46.33824399,-73.88776509,0.012810952,48.28562761,11.55181191,0.546840261,1.62E-05,chinese redbud
162,204,169,93.02687784,51.30302135,86.08135687,-29.67122487,-21.86278229,-31.28832631,0.010812019,53.43878167,11.83717779,0.542608301,1.45E-05,chinese redbud
163,209,173,94.93155429,47.71792116,84.85870609,-43.58300968,-24.52600321,-41.55984013,0.010524699,72.24074835,11.95720396,0.482855844,1.40E-05,chinese redbud
167,204,173,96.48834126,56.52433104,90.56489386,-56.83423678,-36.51097437,-55.9514886,0.012948396,35.32331031,11.56946494,0.627896233,1.56E-05,chinese redbud
161,211,174,102.7131929,48.14561247,88.88756943,-59.18414172,-28.90296542,-53.0484901,0.020570657,27.01132598,10.50537039,0.660324218,1.46E-05,chinese redbud
170,208,179,98.96464015,54.30469593,89.03370148,-68.1356146,-37.34854468,-62.77098339,0.020503854,23.90643385,10.66332447,0.710163586,1.54E-05,chinese redbud
169,203,174,98.63062405,59.51470407,92.47702417,-65.74480579,-40.27128101,-61.27209809,0.010669484,58.34492292,11.82791287,0.505767484,1.64E-05,chinese redbud
164,207,172,97.79570543,51.623638,88.80878335,-53.68541368,-29.27172273,-48.19610168,0.01419008,53.36513454,11.2909109,0.546245967,1.49E-05,chinese redbud
166,204,173,99.51884244,57.57603668,91.50409827,-62.22714117,-38.60504288,-57.54328184,0.010733883,52.20347985,11.86582531,0.520756111,1.59E-05,chinese redbud
166,200,170,98.47334665,60.54750201,93.31130692,-60.10998346,-37.15010847,-55.63624778,0.010539661,58.38502379,11.91518865,0.499920189,1.66E-05,chinese redbud
170,202,176,95.06313691,59.73273809,89.05616206,-59.18261908,-38.74166314,-57.32988156,0.013427817,60.01581226,11.50249083,0.510383913,1.61E-05,chinese redbud
172,206,178,98.64076237,59.23681288,92.493243,-70.23519527,-44.5973964,-67.87650596,0.010520998,54.88790212,11.84513389,0.517348091,1.65E-05,chinese redbud
163,206,172,103.11159,55.47071299,93.3702308,-64.70246657,-36.8700089,-59.89435112,0.013365467,45.45779595,11.40490906,0.548359987,1.59E-05,chinese redbud
167,207,174,94.41927769,51.59457336,86.75828491,-51.84197588,-29.87092695,-48.10149243,0.010622864,58.62297107,11.80683358,0.510950441,1.46E-05,chinese redbud
215,231,216,87.7040478,51.86520992,84.1011296,-105.7937427,-62.54803774,-101.0272449,0.012445415,65.16715159,11.37947705,0.540358708,2.09E-05,true indigo
219,230,219,82.56512581,55.76737397,80.99382693,-101.8668004,-68.61806764,-99.48306573,0.010782963,66.22952739,11.59798867,0.50636872,2.28E-05,true indigo
215,227,216,86.37708029,61.73329734,85.0411665,-103.8120372,-74.91468818,-102.4869069,0.008797807,77.68752741,11.93891044,0.479069703,2.54E-05,true indigo
221,230,221,82.03048214,59.52310476,80.59156283,-103.5755941,-75.15057158,-101.3686168,0.011566158,72.74015698,11.49114359,0.515346375,2.65E-05,true indigo
221,231,222,81.5046011,57.56735186,79.59899497,-102.9482884,-72.99330645,-100.671185,0.010253506,72.91815428,11.6314617,0.506932691,2.53E-05,true indigo
223,233,224,80.78366171,56.11595139,78.68290793,-104.598436,-73.03876093,-101.9654824,0.009267089,87.55520693,11.85636016,0.458153601,2.67E-05,true indigo
228,237,229,74.00675645,49.2239779,71.02816343,-99.66058259,-66.39282111,-95.58756805,0.010607169,83.64959436,11.52038851,0.495094342,2.37E-05,true indigo
219,233,221,81.13568882,50.74445783,77.97435476,-99.70529903,-63.25511736,-96.30131744,0.009283078,48.28310487,11.90365158,0.537375294,2.00E-05,true indigo
226,235,227,76.3609848,51.26402247,73.09582751,-100.7650323,-67.4850081,-96.31655486,0.013268061,55.25527151,11.18077131,0.550654001,2.35E-05,true indigo
217,228,218,84.59314393,58.65151319,82.12186067,-102.7271504,-71.113816,-99.68752461,0.010904378,47.58982353,11.53229354,0.574291699,2.31E-05,true indigo
222,234,224,81.09253973,52.49761899,77.62731478,-103.8056343,-67.66698483,-99.75128191,0.010587397,55.99937964,11.56518202,0.538946903,2.32E-05,true indigo
226,236,227,77.09734107,51.19570294,73.94592619,-102.2124561,-68.24994521,-97.95781191,0.010416426,57.56856733,11.60666519,0.527791386,2.41E-05,true indigo
216,232,218,86.19164693,49.70915409,81.17265549,-104.5463726,-60.1574568,-98.28578249,0.019604197,46.2737729,10.64179039,0.616285879,1.99E-05,true indigo
214,232,217,86.81013766,49.12229636,80.72174428,-103.2586268,-58.68713057,-96.10860106,0.026200658,40.82179128,10.10175126,0.658411307,1.89E-05,true indigo
207,223,209,90.67524469,60.6465168,87.40137299,-100.892969,-67.74595229,-97.47676852,0.022517904,34.93774671,10.42286893,0.633509066,2.09E-05,true indigo
207,228,210,89.70507232,50.43808085,83.71379815,-99.20723179,-56.14185972,-92.43711333,0.020798461,32.58514947,10.50675551,0.622305903,1.75E-05,true indigo
201,224,205,94.27619,54.69917732,88.60586888,-99.99046576,-58.59290762,-94.66400233,0.020614354,36.5446303,10.45686926,0.644543558,1.85E-05,true indigo
215,229,217,86.04649906,56.14267539,82.01219422,-103.1273443,-67.59906806,-98.41026123,0.015804013,46.45090262,11.02178878,0.578418545,2.17E-05,true indigo
202,225,206,94.35570995,53.30103188,87.7097486,-101.2935615,-57.42182192,-94.39927493,0.021543277,36.83695851,10.36111025,0.64882839,1.82E-05,true indigo
207,229,211,91.9782583,50.85272854,85.62709851,-103.4044799,-57.84082396,-96.8389292,0.022676212,37.17223706,10.36688692,0.647467113,1.85E-05,true indigo
203,226,207,94.09038208,51.50728104,86.16263691,-101.8829877,-55.48637493,-92.98118863,0.027745312,32.23400572,9.902499991,0.693220451,1.77E-05,true indigo
205,228,208,93.86160024,50.75431016,86.60254038,-103.9193161,-56.55579629,-95.1822908,0.019659755,36.19715856,10.5274469,0.652674908,1.81E-05,true indigo
204,229,208,94.28149341,47.97916214,86.49277426,-103.406475,-53.00794944,-94.71333716,0.019636024,38.40975765,10.60103681,0.612253665,1.73E-05,true indigo
209,227,211,91.47677301,55.43464621,86.61408661,-104.6470994,-63.56648749,-98.77994178,0.01986181,38.32507899,10.58916055,0.610983742,2.03E-05,true indigo
209,228,212,90.50414355,53.26349594,85.97674104,-103.3251421,-61.21771171,-98.72662054,0.017992399,38.61508604,10.82608304,0.623848071,1.96E-05,true indigo
212,230,215,89.54328562,52.16320542,83.38465087,-105.1039635,-61.46028237,-97.91690861,0.021306322,40.76472056,10.52579762,0.634397496,1.96E-05,true indigo
206,226,209,92.00543462,54.28627819,86.83893136,-101.9579476,-60.49752967,-96.48266756,0.017033033,36.71640769,10.84284589,0.631653609,1.90E-05,true indigo
216,229,217,87.75534172,58.12056435,85.97674104,-107.5156638,-71.62004058,-105.4658665,0.007399442,61.12759428,12.2264925,0.492530525,2.50E-05,true indigo
220,232,221,81.42481194,53.79591063,79.68688725,-101.7654807,-67.77608006,-99.7515164,0.009833837,47.93005556,11.73684316,0.557284943,2.26E-05,true indigo
220,229,220,79.98749902,59.58187644,79.88742079,-98.84084894,-73.93999275,-98.65444263,0.013118793,44.25720998,11.26564732,0.587936504,2.38E-05,true indigo
197,239,205,98.54947996,30.13303835,84.71717653,-102.8087064,-35.02257048,-88.76527807,0.006640733,66.5582188,12.54709013,0.456508326,1.33E-05,japanese maple
194,241,205,98.20896089,25.0998008,82.21313764,-98.83149924,-28.55606078,-84.42612265,0.008602632,54.83033385,12.05795369,0.50213788,1.24E-05,japanese maple
184,240,197,104.5848937,25.51470164,86.94826048,-97.96642609,-28.24445815,-83.7638872,0.00660603,78.11683738,12.55062835,0.455827872,1.25E-05,japanese maple
202,235,208,95.21029356,37.2424489,83.79140767,-103.0125978,-42.6160152,-90.88731372,0.007549245,79.74565048,12.61044504,0.467609825,1.44E-05,japanese maple
201,230,207,88.34591105,43.16248371,80.04373804,-89.90508512,-46.52055206,-82.72137666,0.011209396,64.52661711,11.91501261,0.541292523,1.44E-05,japanese maple
202,234,207,90.74139078,37.2961124,81.04936767,-95.12279596,-40.93624833,-84.59395732,0.011669349,50.76573195,11.58788506,0.552228913,1.40E-05,japanese maple
199,236,207,93.43982021,33.09078422,79.74960815,-96.24186697,-36.76106073,-82.61001546,0.009340981,52.88739959,12.0741914,0.537805546,1.31E-05,japanese maple
203,229,207,88.23831367,43.71498599,81.0802072,-91.84077689,-46.24397779,-84.43533444,0.012447954,58.80100622,11.60605222,0.554735617,1.48E-05,japanese maple
203,230,208,88.50423719,43.70354677,80.98765338,-92.44335465,-47.18128268,-85.33121061,0.012971691,50.30356569,11.49759658,0.568824204,1.48E-05,japanese maple
209,230,213,78.42193571,43.87482194,73.60706488,-82.34270611,-47.99913193,-78.72322093,0.008887169,61.29789131,12.18643701,0.512192566,1.40E-05,japanese maple
205,229,212,86.80437777,47.47630988,76.8635154,-92.2240914,-53.33735213,-83.57246867,0.006982565,55.14493557,12.63529417,0.513956926,1.49E-05,japanese maple
209,232,215,84.86459804,44.66542287,75.59100476,-93.68834465,-51.83031474,-85.04887616,0.006554124,63.36453707,12.73342034,0.505852848,1.47E-05,japanese maple
209,235,214,80.72793816,36.18010503,71.82617907,-85.93789459,-40.10514006,-76.69231236,0.01587997,33.7123684,10.99644968,0.645315303,1.32E-05,japanese maple
212,230,216,79.09487973,46.61544808,72.44308111,-86.74864695,-52.68100786,-80.33784211,0.01041896,40.92552578,11.90408061,0.586806101,1.47E-05,japanese maple
216,234,221,75.66372975,41.91658383,65.61249881,-85.81594855,-49.50103729,-75.22003531,0.008358473,40.8564709,12.24650547,0.580797177,1.37E-05,japanese maple
214,233,219,76.83749085,42.48529157,68.27151675,-85.53922485,-49.10431753,-77.00567789,0.010351959,36.12278605,11.84262575,0.600439457,1.38E-05,japanese maple
216,234,221,75.40557009,41.46082488,66.88796603,-85.42093394,-48.8174521,-77.10796122,0.008806265,38.26584612,12.12665619,0.591518499,1.38E-05,japanese maple
213,236,217,77.66595136,36.33180425,70.07852738,-85.82282797,-41.16805895,-77.47105405,0.029663791,25.85609979,10.02914013,0.825457431,1.34E-05,japanese maple
208,233,213,83.55836284,40.28647416,75.2861209,-90.06908276,-44.7952841,-81.68264207,0.015124554,41.16564947,11.21329047,0.620106359,1.42E-05,japanese maple
218,235,222,74.41773982,42.15447782,66.58077801,-86.3424242,-50.68691961,-77.99512352,0.0104981,40.31236496,11.90492615,0.585055677,1.42E-05,japanese maple
219,235,223,72.14568594,41.34005322,64.42049363,-83.34117082,-49.37679799,-75.06151989,0.009515255,58.40430109,12.05587443,0.52563885,1.39E-05,japanese maple
218,235,222,73.86474125,40.60788101,66.48308055,-85.22266878,-48.07770977,-77.41074706,0.011853196,51.47401608,11.75788897,0.566783309,1.39E-05,japanese maple
209,230,213,84.01785525,46.20606021,76.55716818,-91.93264604,-51.59022109,-84.23897369,0.011810234,48.33897638,11.73039391,0.57508098,1.51E-05,japanese maple
206,240,212,81.63945125,26.73948391,72.24264668,-84.13084295,-30.09046765,-75.41711296,0.011674158,42.24480857,11.48244331,0.591152048,1.20E-05,japanese maple
204,237,211,85.26429499,32.17141588,75.30604225,-88.1135758,-35.64832473,-79.41389356,0.014315549,45.29578558,11.40613579,0.57634298,1.28E-05,japanese maple
207,234,211,79.61155695,34.88552709,73.40299721,-81.73516582,-36.960025,-75.92652178,0.014172042,53.83895818,11.24538045,0.580278096,1.29E-05,japanese maple
206,238,212,83.19855768,30.62678566,73.63423117,-86.82971934,-34.53842949,-77.77152074,0.010560351,39.8084657,11.65721217,0.590955949,1.25E-05,japanese maple
207,240,213,79.73706792,26.34387974,70.78135348,-82.04295786,-29.00237793,-73.75203097,0.016284811,36.33258206,10.85425121,0.638572886,1.19E-05,japanese maple
209,238,213,79.01898506,29.03446228,71.70774017,-83.16611624,-31.37389747,-75.41254145,0.016801928,37.78419472,10.82810567,0.617236249,1.24E-05,japanese maple
206,233,211,81.84741902,38.22302971,73.97972695,-84.52281634,-41.28338283,-76.95133823,0.015126473,42.59926444,11.19461464,0.623883699,1.33E-05,japanese maple
209,232,216,82.83115356,41.1703777,71.83313998,-89.7945106,-45.21053609,-78.96222089,0.0155693,47.24558067,11.10732825,0.633515612,1.43E-05,nanmu
213,229,217,79.00632886,49.02040392,71.8748913,-87.86079057,-55,-80.29278135,0.018036894,42.53156636,10.84515441,0.65276462,1.57E-05,nanmu
212,232,217,80.78985085,43.47413024,71.04224096,-89.6966329,-49.0689021,-79.04494585,0.016236946,37.97423248,10.99273507,0.663129927,1.48E-05,nanmu
211,228,215,79.78721702,48.6929153,73.15736463,-86.90481509,-53.67939892,-80.34951246,0.012174486,43.58083891,11.65146965,0.645797865,1.54E-05,nanmu
207,229,213,82.08532146,45.033321,72.58098925,-85.99179659,-48.53736448,-76.9289275,0.010340273,47.35040332,11.83248619,0.561551699,1.44E-05,nanmu
204,232,212,82.35897037,38.45776905,70.50531895,-83.30838008,-40.85253389,-72.78412486,0.009341016,42.50117084,11.9433698,0.586418709,1.31E-05,nanmu
220,235,224,71.3582511,42.19004622,64.45928948,-83.300983,-50.29650489,-75.99694124,0.016792338,42.79053425,11.06760519,0.623617712,1.46E-05,nanmu
200,226,207,82.81304245,43.95452195,72.76675065,-78.69260452,-42.73188134,-69.84844763,0.018686118,35.18625902,10.75172131,0.627647629,1.36E-05,nanmu
206,229,212,79.78095011,42.67317659,70.58328414,-80.60474002,-44.03784623,-71.9765227,0.015776168,42.73240213,11.02415087,0.59195673,1.36E-05,nanmu
204,228,210,83.21057625,44.46346815,73.62064928,-84.05438655,-45.88898877,-74.83221753,0.018997232,53.16703554,10.87425582,0.56062724,1.42E-05,nanmu
210,232,216,78.6066155,40.27406113,68.31544481,-83.31784068,-43.68525389,-72.87713115,0.019127184,29.97957659,10.78131687,0.724530249,1.36E-05,nanmu
208,228,212,75.79577825,44.06812907,69.76388751,-76.75160299,-46.01700694,-71.2919933,0.007262449,58.46145895,12.35446811,0.502521292,1.36E-05,nanmu
213,233,218,75.71657678,40.26164428,66.16645676,-82.05236592,-44.70256514,-71.81511205,0.015894279,34.11596326,10.96255115,0.687597706,1.36E-05,nanmu
209,232,216,79.44809626,39.87480407,69,-83.86751603,-42.88576131,-74.06331324,0.016047146,33.84390627,10.93155935,0.684755692,1.36E-05,nanmu
196,224,203,86.16263691,44.92215489,75.54468876,-79.68842349,-42.09314174,-69.95398336,0.014898542,46.89126683,11.13663424,0.575607408,1.38E-05,nanmu
204,229,210,81.17881497,41.19465985,71.84010022,-80.68561773,-41.53415681,-71.93467583,0.016813992,48.79953649,11.0680577,0.572324101,1.35E-05,nanmu
